,Tshrit_names,Tshrit_prices,Tshrit_offers
0,"Striped Men Hooded Neck Red, Black T-Shirt","<div class=""_30jeq3"">₹197</div>",<span>80% off</span>
1,Printed Men Round Neck White T-Shirt,"<div class=""_30jeq3"">₹309</div>",<span>80% off</span>
2,Solid Men Round Neck Black T-Shirt,"<div class=""_30jeq3"">₹249</div>",<span>84% off</span>
3,Printed Men Round Neck Black T-Shirt,"<div class=""_30jeq3"">₹249</div>",<span>80% off</span>
4,Color Block Men Round Neck Black T-Shirt,"<div class=""_30jeq3"">₹299</div>",<span>81% off</span>
5,Printed Men Hooded Neck Black T-Shirt,"<div class=""_30jeq3"">₹299</div>",<span>81% off</span>
6,Printed Women Round Neck Yellow T-Shirt,"<div class=""_30jeq3"">₹299</div>",<span>70% off</span>
7,"Color Block Women Round Neck Black, Maroon T-Shirt","<div class=""_30jeq3"">₹299</div>",<span>70% off</span>
8,Printed Women Round Neck Light Green T-Shirt,"<div class=""_30jeq3"">₹272</div>",<span>78% off</span>
9,"Typography Women Round Neck Pink, Yellow T-Shirt","<div class=""_30jeq3"">₹409</div>",<span>79% off</span>
10,Printed Women Round Neck Black T-Shirt,"<div class=""_30jeq3"">₹280</div>",<span>77% off</span>
11,"Solid Women Round Neck White, Black T-Shirt","<div class=""_30jeq3"">₹429</div>",<span>79% off</span>
12,Color Block Couple Round Neck Multicolor T-Shirt,"<div class=""_30jeq3"">₹699</div>",<span>65% off</span>
13,"Striped Men Polo Neck White, Blue, Green T-Shirt","<div class=""_30jeq3"">₹399</div>",<span>69% off</span>
14,"Striped Men Polo Neck White, Blue, Yellow T-Shirt","<div class=""_30jeq3"">₹334</div>",<span>74% off</span>
15,Printed Men Hooded Neck Black T-Shirt,"<div class=""_30jeq3"">₹249</div>",<span>84% off</span>
16,Printed Men Hooded Neck Black T-Shirt,"<div class=""_30jeq3"">₹199</div>",<span>80% off</span>
17,"Color Block Men Round Neck White, Blue T-Shirt","<div class=""_30jeq3"">₹199</div>",<span>87% off</span>
18,Striped Men Polo Neck Blue T-Shirt,"<div class=""_30jeq3"">₹349</div>",<span>73% off</span>
19,Printed Women Round Neck White T-Shirt,"<div class=""_30jeq3"">₹399</div>",<span>66% off</span>
20,Solid Women Round Neck Pink T-Shirt,"<div class=""_30jeq3"">₹259</div>",<span>48% off</span>
21,Graphic Print Women Round Neck White T-Shirt,"<div class=""_30jeq3"">₹279</div>",<span>74% off</span>
22,"Solid Women Round Neck Black, Grey T-Shirt","<div class=""_30jeq3"">₹419</div>",<span>79% off</span>
23,Graphic Print Women Round Neck Green T-Shirt,"<div class=""_30jeq3"">₹410</div>",<span>42% off</span>
24,Printed Women Round Neck White T-Shirt,"<div class=""_30jeq3"">₹299</div>",<span>70% off</span>
25,Printed Couple Round Neck Red T-Shirt,"<div class=""_30jeq3"">₹472</div>",<span>63% off</span>
26,Color Block Men Round Neck Red T-Shirt,"<div class=""_30jeq3"">₹344</div>",<span>73% off</span>
27,Color Block Men Round Neck Grey T-Shirt,"<div class=""_30jeq3"">₹249</div>",<span>80% off</span>
28,Solid Men Round Neck Maroon T-Shirt,"<div class=""_30jeq3"">₹199</div>",<span>87% off</span>
29,Striped Men Polo Neck Blue T-Shirt,"<div class=""_30jeq3"">₹369</div>",<span>71% off</span>
30,Color Block Men Polo Neck Dark Blue T-Shirt,"<div class=""_30jeq3"">₹365</div>",<span>63% off</span>
31,"Color Block Men Round Neck Black, White T-Shirt","<div class=""_30jeq3"">₹245</div>",<span>75% off</span>
32,Tie & Dye Women Round Neck Multicolor T-Shirt,"<div class=""_30jeq3"">₹349</div>",<span>70% off</span>
33,Printed Women Round Neck White T-Shirt,"<div class=""_30jeq3"">₹349</div>",<span>70% off</span>
34,Printed Women Round Neck White T-Shirt,"<div class=""_30jeq3"">₹399</div>",<span>66% off</span>
35,Womens - round neck t shirt Printed Women Round Neck Wh...,"<div class=""_30jeq3"">₹299</div>",<span>67% off</span>
36,"Printed Women Round Neck Blue, Pink, Yellow T-Shirt","<div class=""_30jeq3"">₹500</div>",<span>66% off</span>
37,Printed Women Round Neck Purple T-Shirt,"<div class=""_30jeq3"">₹399</div>",<span>66% off</span>
38,Color Block Couple Round Neck Multicolor T-Shirt,"<div class=""_30jeq3"">₹699</div>",<span>65% off</span>
39,"Solid Men Round Neck White, Black T-Shirt","<div class=""_30jeq3"">₹299</div>",<span>85% off</span>
